Country,Continent,Birth_rate_crude_per_1000_people,Death_rate_crude_per_1000_people,Life_expectancy_at_birth_female_years,Life_expectancy_at_birth_male_years,Life_expectancy_at_birth_total_years,Literacy_rate_adult_total,Personal_computers_per_100_people,Physicians_per_1000_people,Prevalence_of_HIV_total
Afghanistan,Asia,,,,,,,0,0,0
Albania,Europe,17,6,79,73,76,,2,,0
Algeria,Middle East & North Africa,21,5,73,70,72,,1,,0
AmericanSamoa,Pacific,,,,,,,,,
Andorra,Europe,,,,,,,,,
Angola,Sub-Saharan Africa,48,21,44,40,42,,1,,4
AntiguaandBarbuda,Latin America & Caribbean,,,,,,,15,,
Argentina,Latin America & Caribbean,18,8,79,71,75,,9,,1
Armenia,Middle East & North Africa,12,9,75,68,71,,10,,0
Aruba,Latin America & Caribbean,,,,,,,8,,
Australia,Pacific,13,6,83,78,81,,76,,0
Austria,Europe,10,9,82,77,79,,61,,0
Azerbaijan,Middle East & North Africa,17,6,75,70,72,,2,,0
Bahamas,Latin America & Caribbean,17,6,75,70,72,,12,,3
Bahrain,Middle East & North Africa,18,3,77,74,75,,18,3,0
Bangladesh,Asia,26,8,64,62,63,,1,0,0
Barbados,Latin America & Caribbean,11,7,79,74,77,,14,,2
Belarus,Europe,9,15,74,63,68,,1,,0
Belgium,Europe,11,10,82,77,79,,38,,0
Belize,Latin America & Caribbean,28,5,74,69,72,,14,,2
Benin,Sub-Saharan Africa,41,12,57,55,56,,0,,2
Bermuda,Latin America & Caribbean,13,7,81,76,79,,,,
Bhutan,Asia,20,7,67,63,65,60,2,,0
Bolivia,Latin America & Caribbean,29,8,67,63,65,,2,,0
BosniaandHerzegovina,Europe,9,9,77,72,74,,5,1,0
Botswana,Sub-Saharan Africa,25,15,49,49,49,,5,,24
Brazil,Latin America & Caribbean,20,6,76,68,72,,16,,1
BruneiDarussalam,Asia,22,3,79,75,77,,9,,0
Bulgaria,Europe,9,15,76,69,73,,6,,0
BurkinaFaso,Sub-Saharan Africa,45,15,53,50,52,24,0,,2
Burundi,Sub-Saharan Africa,46,16,50,47,49,,1,,3
Cambodia,Asia,27,9,61,56,58,,0,,2
Cameroon,Sub-Saharan Africa,36,15,51,50,50,,1,,5
Canada,North America,10,7,83,78,80,,88,,0
CapeVerde,Sub-Saharan Africa,30,5,74,68,71,,11,,
CaymanIslands,Latin America & Caribbean,,,,,,,,,
CentralAfricanRepublic,Sub-Saharan Africa,37,19,46,43,44,,0,,11
Chad,Sub-Saharan Africa,46,16,52,49,51,,0,,4
ChannelIslands,Europe,10,10,81,76,79,,,,
Chile,Latin America & Caribbean,15,5,81,75,78,,14,,0
China,Asia,12,7,74,70,72,,4,2,0
Colombia,Latin America & Caribbean,20,6,76,69,72,93,4,,1
Comoros,Indian Ocean,34,7,64,61,63,,1,,0
CongoDemRep,Sub-Saharan Africa,44,19,47,45,46,,0,,3
CongoRep,Sub-Saharan Africa,36,12,56,53,54,,1,,5
CostaRica,Latin America & Caribbean,18,4,81,76,79,,23,,0
Coted'Ivoire,Sub-Saharan Africa,36,16,49,47,48,,2,,7
Croatia,Europe,10,12,79,72,75,,20,2,0
Cuba,Latin America & Caribbean,11,8,80,76,78,,3,,0
Cyprus,Europe,11,7,82,77,79,,37,,0
CzechRepublic,Europe,10,11,79,73,76,,27,,0
Denmark,Europe,12,10,80,76,78,,70,,0
Djibouti,Middle East & North Africa,30,12,56,53,54,,2,0,3
Dominica,Latin America & Caribbean,,,,,,,,,
DominicanRepublic,Latin America & Caribbean,24,6,75,69,72,,2,,1
Ecuador,Latin America & Caribbean,22,5,78,72,75,,7,,0
Egypt,Middle East & North Africa,25,6,73,69,71,71,4,2,0
ElSalvador,Latin America & Caribbean,24,6,74,68,71,,5,,1
EquatorialGuinea,Sub-Saharan Africa,39,15,52,49,51,,2,,3
Eritrea,Sub-Saharan Africa,40,10,59,54,57,,1,,2
Estonia,Europe,11,13,78,67,73,,48,,1
Ethiopia,Sub-Saharan Africa,39,14,53,51,52,,0,,1
FaeroeIslands,Europe,,,,,,,,,
Fiji,Pacific,22,7,71,66,68,,6,,0
Finland,Europe,11,9,82,76,79,,50,,0
France,Europe,13,9,84,77,80,,57,,0
FrenchPolynesia,Pacific,19,5,76,71,74,,11,,
Gabon,Sub-Saharan Africa,27,12,57,56,57,,3,,8
Gambia,Sub-Saharan Africa,36,11,60,58,59,,2,,2
Georgia,Europe,11,12,75,67,71,,5,,0
Germany,Europe,8,10,82,76,79,,61,,0
Ghana,Sub-Saharan Africa,31,10,60,59,59,,1,,2
Greece,Europe,9,9,82,77,79,,9,5,0
Greenland,Europe,,,,,,,,,
Grenada,Latin America & Caribbean,21,,,,,,,,
Guam,Pacific,19,5,78,73,75,,,,
Guatemala,Latin America & Caribbean,34,6,73,66,70,,2,,1
Guinea,Sub-Saharan Africa,41,13,57,53,55,,0,,2
Guinea-Bissau,Sub-Saharan Africa,50,19,48,44,46,,0,,4
Guyana,Latin America & Caribbean,19,9,69,63,66,,4,,2
Haiti,Latin America & Caribbean,29,10,62,58,60,,0,,4
Honduras,Latin America & Caribbean,29,6,73,66,70,,2,,2
HongKong,Asia,8,6,84,79,82,,61,,
Hungary,Europe,10,14,77,69,73,,15,,0
Iceland,Europe,14,6,83,79,81,,48,,0
India,Asia,24,8,66,63,64,,2,,1
Indonesia,Asia,20,7,70,66,68,,1,,0
Iran,Middle East & North Africa,18,5,72,69,70,82,13,1,0
Iraq,Middle East & North Africa,,,,,,,,1,0
Ireland,Europe,15,6,82,77,79,,53,,0
IsleofMan,Europe,12,10,,,,,,,
Israel,Middle East & North Africa,21,6,82,78,80,,122,,0
Italy,Europe,10,10,83,78,80,,37,,0
Jamaica,Latin America & Caribbean,17,6,73,69,71,,7,,2
Japan,Asia,8,9,86,79,82,,68,,0
Jordan,Middle East & North Africa,28,3,74,71,72,91,7,2,0
Kazakhstan,Asia,18,10,72,60,66,,,4,0
Kenya,Sub-Saharan Africa,39,12,54,52,53,,1,,6
Kiribati,Pacific,,,,,,,,,
NorthKorea,Asia,14,10,69,65,67,,,,0
SouthKorea,Asia,9,5,82,75,78,,53,,0
Kuwait,Middle East & North Africa,21,2,80,75,78,93,24,2,0
KyrgyzRepublic,Asia,21,7,72,,,,2,,0
LaoPDR,Asia,27,7,65,62,63,,2,,0
Latvia,Europe,9,14,77,66,71,,25,,1
Lebanon,Middle East & North Africa,19,7,74,69,72,,10,2,0
Lesotho,Sub-Saharan Africa,30,19,44,43,43,,0,,23
Liberia,Sub-Saharan Africa,50,19,46,44,45,,,,
Libya,Middle East & North Africa,24,4,76,71,74,,2,,0
Liechtenstein,Europe,,,,,,,,,
Lithuania,Europe,9,13,77,65,71,,18,,0
Luxembourg,Europe,12,8,82,76,79,,63,,0
Macao,Asia,7,5,83,78,80,,34,,
Macedonia,Europe,11,9,76,72,74,,22,,0
Madagascar,Sub-Saharan Africa,38,10,60,57,59,,1,,1
Malawi,Sub-Saharan Africa,42,16,47,47,47,,0,,14
Malaysia,Asia,21,4,76,72,74,,22,,0
Maldives,Sub-Saharan Africa,23,6,68,67,67,,15,,0
Mali,Sub-Saharan Africa,48,15,56,51,53,,0,,2
Malta,Europe,10,7,81,78,80,,17,,0
MarshallIslands,Pacific,,,,,,,,,
Mauritania,Sub-Saharan Africa,34,8,65,62,63,,3,,1
Mauritius,Indian Ocean,15,7,77,70,73,,17,,1
Mayotte,Indian Ocean,,,,,,,,,
Mexico,Latin America & Caribbean,19,5,77,72,74,92,14,,0
Micronesia,Pacific,27,6,69,67,68,,5,,
Moldova,Europe,11,12,72,65,68,,9,,1
Monaco,Europe,,,,,,,,,
Mongolia,Asia,18,6,68,65,67,,13,,0
Montenegro,Europe,13,9,77,72,74,,,,
Morocco,Middle East & North Africa,23,6,73,68,70,,2,,0
Mozambique,Sub-Saharan Africa,41,20,44,42,43,,1,,16
Myanmar,Asia,19,10,65,58,61,,1,,1
Namibia,Sub-Saharan Africa,26,13,53,52,52,,12,,20
Nepal,Asia,29,8,63,62,63,,0,,1
Netherlands,Europe,12,8,82,77,79,,85,4,0
NetherlandsAntilles,Latin America & Caribbean,13,8,79,71,75,,,,
NewCaledonia,Pacific,17,5,78,72,75,,3,,
NewZealand,Pacific,14,7,82,78,80,,50,,0
Nicaragua,Latin America & Caribbean,25,5,75,69,72,,4,,0
Niger,Sub-Saharan Africa,50,15,55,57,56,29,0,,1
Nigeria,Sub-Saharan Africa,41,17,47,46,47,,1,,4
NorthernMarianaIslands,Pacific,,,,,,,,,
Norway,Europe,12,9,82,78,80,,59,,0
Oman,Middle East & North Africa,23,3,77,74,75,,5,2,0
Pakistan,Asia,26,7,65,64,65,50,1,1,0
Palau,Pacific,,,,,,,,,
Panama,Latin America & Caribbean,22,5,78,73,75,,5,,1
PapuaNewGuinea,Pacific,31,10,60,54,57,,6,,2
Paraguay,Latin America & Caribbean,26,6,74,,,,8,,0
Peru,Latin America & Caribbean,21,6,73,68,71,88,10,,1
Philippines,Pacific,27,5,73,69,71,,5,,0
Poland,Europe,9,10,79,71,75,,24,2,0
Portugal,Europe,10,10,81,75,78,,13,3,0
PuertoRico,Latin America & Caribbean,13,8,82,74,78,,1,,
Qatar,Middle East & North Africa,17,2,76,75,75,,18,3,0
Romania,Europe,10,12,75,68,72,,13,,0
RussianFederation,Asia,10,16,72,59,65,,12,,1
Rwanda,Sub-Saharan Africa,43,18,47,43,45,,0,,3
Samoa,Pacific,27,5,74,68,71,,2,,
SanMarino,Europe,,,,,,,86,,
SaoTomeandPrincipe,Sub-Saharan Africa,33,8,67,63,65,,4,,
SaudiArabia,Middle East & North Africa,26,4,,70,,,14,,0
Senegal,Sub-Saharan Africa,36,9,65,61,62,,2,,1
Serbia,Europe,10,14,75,70,73,,,,
Seychelles,Indian Ocean,18,8,77,67,72,,19,,
SierraLeone,Sub-Saharan Africa,46,23,44,40,42,,,,2
Singapore,Asia,10,4,82,78,80,,68,,0
SlovakRepublic,Europe,10,10,78,70,74,,36,,0
Slovenia,Europe,9,9,81,74,78,,40,2,0
SolomonIslands,Pacific,32,8,64,62,63,,5,,
Somalia,Sub-Saharan Africa,44,17,48,46,47,,1,,1
SouthAfrica,Sub-Saharan Africa,24,21,49,47,48,,8,,19
Spain,Europe,11,9,84,77,81,,28,,1
SriLanka,Asia,19,7,77,72,75,,4,,0
StKittsandNevis,Latin America & Caribbean,,,,,,,,,
StLucia,Latin America & Caribbean,14,7,76,72,74,,,,
StVincentandtheGrenadines,Latin America & Caribbean,20,7,73,69,71,,14,,
Sudan,Sub-Saharan Africa,33,11,59,56,58,,9,,2
Suriname,Latin America & Caribbean,20,7,73,67,70,,4,,2
Swaziland,Sub-Saharan Africa,34,20,41,42,41,,4,,33
Sweden,Europe,10,10,83,78,81,,84,,0
Switzerland,Europe,10,8,84,79,81,,86,,0
SyrianArabRepublic,Middle East & North Africa,27,3,76,72,74,,4,,0
Tajikistan,Asia,28,7,69,64,66,,1,,0
Tanzania,Sub-Saharan Africa,40,14,52,50,51,,1,,6
Thailand,Asia,15,9,75,65,70,,7,,1
TimorLeste,Asia,51,15,58,56,57,,,,0
Togo,Sub-Saharan Africa,38,10,60,56,58,,3,,3
Tonga,Pacific,25,6,74,72,73,,6,,
TrinidadandTobago,Latin America & Caribbean,15,8,71,67,69,,10,,3
Tunisia,Middle East & North Africa,17,6,76,72,73,,6,,0
Turkey,Middle East & North Africa,19,6,74,69,71,,6,1,0
Turkmenistan,Asia,22,8,67,59,63,,7,,0
Uganda,Sub-Saharan Africa,47,14,51,49,50,,1,,6
Ukraine,Europe,9,17,74,62,68,,4,,1
UnitedArabEmirates,Middle East & North Africa,16,1,82,77,79,,26,,0
UnitedKingdom,Europe,12,10,81,77,79,,76,,0
UnitedStates,North America,14,8,81,75,78,,,,1
Uruguay,Latin America & Caribbean,15,9,79,72,76,,14,,0
Uzbekistan,Asia,20,6,71,64,67,,3,3,0
Vanuatu,Pacific,30,5,71,68,69,,1,,
Venezuela,Latin America & Caribbean,22,5,77,71,74,,9,,1
Vietnam,Asia,18,5,73,68,71,,1,,0
